Alabama,SEC,SEC,15995406,97324316,44211016,53113300
Alabama at Birmingham,AAC,AAC,1240957,7550624,2306791,5243833
Alcorn State University,SWAC,SWAC,36786,223822,223822,-
Appalachian State,Sun Belt,Sun Belt,1925394,11715090,5407791,6307299
Arizona,Pac-12,Big 12,6414683,39030243,19164426,19865817
Arizona State,Pac-12,Big 12,5689877,34620152,14144182,20475970
Arkansas,SEC,SEC,11544039,70239900,48073959,22165941
Arkansas State,Sun Belt,Sun Belt,1207619,7347777,1178133,6169644
Auburn,SEC,SEC,11588953,70513179,34140396,36372783
Austin Peay State University,ASUN,ASUN,253579,1542908,417101,1125807
Ball State,MAC,MAC,341183,2075931,795202,1280729
Boise State,MW,MW,2765657,16827686,7226105,9601581
Bowling Green,MAC,MAC,670821,4081620,1201307,2880313
California,Pac-12,ACC,3932903,23929814,8073384,15856430
Central Florida,AAC,Big-12,3308993,20133624,5782943,14350681
Cincinnati,AAC,Big-12,3984845,24245856,9631998,14613858
Clemson,ACC,ACC,15258374,92839831,31980356,60859475
Coastal Carolina,Sun Belt,Sun Belt,367676,2237128,1306549,930579
Colorado,Pac-12,Big 12,5337719,32477439,19175198,13302241
Colorado State,MW,MW,2586300,15736383,4742234,10994149
East Carolina,AAC,AAC,2887971,17571910,5807897,11764013
Eastern Kentucky University,ASUN,ASUN,161551,982959,296858,686101
Florida,SEC,SEC,15802237,96148974,34784702,61364272
Florida Atlantic,AAC,AAC,1308349,7960674,1112409,6848265
Florida Gulf Coast University,ASUN,ASUN,757497,4609004,825822,3783182
Florida International,CUSA,CUSA,229930,1399013,774837,624176
Florida State,ACC,ACC,10034191,61053203,18773797,42279406
Fresno State,MW,MW,2102800,12794521,5914738,6879783
George Mason University,A10,A10,612537,3726993,617434,3109559
Georgia,SEC,SEC,18326566,111508298,37192353,74315945
Georgia Southern,Sun Belt,Sun Belt,844462,5138145,1999550,3138595
Georgia State,Sun Belt,Sun Belt,781177,4753087,606809,4146278
Georgia Tech,ACC,ACC,4281809,26052739,12303309,13749430
Grambling State University,SWAC,SWAC,203964,1241020,763192,477828
Houston,AAC,Big-12,2098333,12767342,5191579,7575763
Illinois,Big Ten,Big Ten,9311667,56656994,15693517,40963477
Illinois State University,MVC,MVC,382828,2329322,1426063,903259
Indiana,Big Ten,Big Ten,13631160,82939020,21278997,61660023
Indiana State University,MVC,MVC,524475,3191177,348145,2843032
Indiana-Purdue Univ- Fort Wayne,Horizon,Horizon,213519,1299159,78078,1221081
Iowa,Big Ten,Big Ten,9698730,59012087,26416829,32595258
Iowa State,Big 12,Big 12,7551312,45946084,22909710,23036374
James Madison,Sun Belt,Sun Belt,1207786,7348797,3564462,3784335
Kansas,Big 12,Big 12,7427957,45195526,17933864,27261662
Kansas State,Big 12,Big 12,7121436,43330498,15221310,28109188
Kennesaw State University,ASUN,CUSA,362703,2206872,635600,1571272
Kent State,MAC,MAC,160201,974748,313217,661531
Kentucky,SEC,SEC,11254204,68476390,40538111,27938279
Lamar University,Southland,Southland,284546,1731323,475090,1256233
Longwood University,Big South,Big South,195164,1187479,74200,1113279
Louisiana-Lafayette,Sun Belt,Sun Belt,1284835,7817600,2411959,5405641
Louisville,ACC,ACC,9443439,57458760,27045669,30413091
LSU,SEC,SEC,20137141,122524769,46594942,75929827
Marshall,Sun Belt,Sun Belt,1462900,8901037,2946763,5954274
Maryland,Big Ten,Big Ten,3735112,22726352,12735792,9990560
McNeese State University,Southland,Southland,519547,3161193,897853,2263340
Memphis,AAC,AAC,2634877,16031952,10253609,5778343
Michigan,Big Ten,Big Ten,16357054,99524766,55266135,44258631
Michigan State,Big Ten,Big Ten,13035471,79314544,25178673,54135871
Minnesota,Big Ten,Big Ten,7171424,43634648,19252536,24382112
Mississippi,SEC,SEC,8872378,53984130,19574652,34409478
Mississippi State,SEC,SEC,6467166,39349578,16737350,22612228
Missouri,SEC,SEC,7146859,43485183,13929479,29555704
Montana State University,Big Sky,Big Sky,1553594,9452866,4436089,5016777
Murray State University,MVC,MVC,409722,2492963,1273984,1218979
Nebraska,Big Ten,Big Ten,7973918,48517435,38946701,9570734
Nevada,MW,MW,2000558,12172431,7325678,4846753
Nevada-Las Vegas,MW,MW,2772864,16871536,7034986,9836550
New Mexico,MW,MW,1776472,10808972,4510754,6298218
New Mexico State,CUSA,CUSA,680038,4137703,1465012,2672691
North Carolina,ACC,ACC,8355617,50839894,30224001,20615893
North Carolina State,ACC,ACC,5935429,36114218,21214362,14899856
North Dakota State University,Summit,Summit,2070608,12598652,5961999,6636653
North Texas,AAC,AAC,607493,3696302,1337778,2358524
Northern Illinois,MAC,MAC,506195,3079952,495563,2584389
Northern Kentucky University,Horizon,Horizon,272399,1657416,242279,1415137
Northwestern State University,Southland,Southland,295595,1798555,215433,1583122
Ohio University,MAC,MAC,509427,3099615,1234040,1865575
Ohio State,Big Ten,Big Ten,20253400,123232149,59649921,63582228
Oklahoma,Big 12,SEC,14817595,90157905,46977771,43180134
Oklahoma State,Big 12,Big 12,5338583,32482697,12882021,19600676
Old Dominion,Sun Belt,Sun Belt,2389384,14538249,2493640,12044609
Oregon,Pac-12,Big Ten,10623807,64640729,24357945,40282784
Oregon State,Pac-12,Pac-12,3163423,19247899,9447886,9800013
Penn State,Big Ten,Big Ten,13793489,83926716,44678657,39248059
Purdue,Big Ten,Big Ten,5510579,33529207,16617614,16911593
Rutgers,Big Ten,Big Ten,3624816,22055252,13049333,9005919
Sam Houston State,CUSA,CUSA,238669,1452185,307512,1144673
San Diego State,MW,MW,4158476,25302315,5624459,19677856
San Jose State,MW,MW,1001536,6093864,608561,5485303
South Alabama,Sun Belt,Sun Belt,479267,2916110,1176270,1739840
South Carolina,SEC,SEC,9554700,58135731,24301862,33833869
South Florida,AAC,AAC,2235939,13604611,6485854,7118757
Southern Illinois University,MVC,MVC,524242,3189757,1074469,2115288
Southern Mississippi,Sun Belt,Sun Belt,1500334,9128806,3324383,5804423
Stephen F Austin State University,WAC,WAC,427846,2603236,558338,2044898
Stony Brook University,CAA,CAA,224341,1365006,572319,792687
Tarleton State University,WAC,WAC,281304,1711601,604450,1107151
Tennessee,SEC,SEC,11602164,70593563,35110289,35483274
Texas,Big 12,SEC,22272474,135517239,57543166,77974073
Texas A & M - Corpus Christi,Southland,Southland,118556,721355,210723,510632
Texas A&M,SEC,SEC,17228714,104828397,50624287,54204110
Texas State,Sun Belt,Sun Belt,599058,3644980,1191968,2453012
Texas Tech,Big 12,Big 12,6986182,42507539,13560519,28947020
Texas-El Paso,CUSA,CUSA,955659,5814721,2318851,3495870
Texas-San Antonio,AAC,AAC,1058313,6439323,3315102,3124221
Toledo,MAC,MAC,928243,5647912,1933429,3714483
Towson University,CAA,CAA,411577,2504246,265996,2238250
Troy,Sun Belt,Sun Belt,386184,2349746,778536,1571210
UCLA,Pac-12,Big Ten,5919423,36016831,17494361,18522470
UNC Charlotte,AAC,AAC,1570976,9558628,1628183,7930445
Univ of North Carolina at Asheville,Big South,Big South,194803,1185280,45071,1140209
Univ of North Carolina at Greensboro,Southern,Southern,274806,1672059,131664,1540395
Univ of North Carolina Wilmington,CAA,CAA,355627,2163817,652718,1511099
Univ of Wisconsin-Green Bay,Horizon,Horizon,292411,1779182,389835,1389347
University at Albany,Am East,Am East,202187,1230213,406713,823500
University of California-Riverside,Big West,Big West,76105,463064,54951,408113
University of California-Santa Barbara,Big West,Big West,371000,2257353,231232,2026121
University of Connecticut,Big East,Big East,3839690,23362661,9747824,13614837
University of Hawaii at Manoa,Big West,Big West,1051850,6399998,1950230,4449768
University of Illinois at Chicago,MVC,MVC,115207,700979,102727,598252
University of Massachusetts,A10,A10,743864,4526052,1626956,2899096
University of Missouri-Kansas City,Summit,Summit,102761,625253,113867,511386
University of Montana,Big Sky,Big Sky,2167846,13190294,6183720,7006574
University of Nebraska at Omaha,Summit,Summit,556138,3383828,2633319,750509
University of North Alabama,ASUN,ASUN,303471,1846475,312542,1533933
University of Northern Colorado,Big Sky,Big Sky,779260,4741421,522402,4219019
University of Northern Iowa,MVC,MVC,704682,4287650,1135780,3151870
University of Rhode Island,A10,A10,561639,3417304,1281600,2135704
University of Tennessee-Chattanooga,Southern,Southern,549269,3342037,803128,2538909
Utah,Pac-12,Big 12,7252969,44130809,15286819,28843990
Utah State,MW,MW,1511795,9198542,2718827,6479715
Utah Valley University,WAC,WAC,191396,1164552,224785,939767
Virginia,ACC,ACC,12780300,77761952,15114983,62646969
Virginia Commonwealth University,A10,A10,902755,5492825,2132585,3360240
Virginia Tech,ACC,ACC,7732903,47050980,21168159,25882821
Washington,Pac-12,Big Ten,9406794,57235798,29198790,28037008
Washington State,Pac-12,Pac-12,3216991,19573838,9299636,10274202
Weber State University,Big Sky,Big Sky,372994,2269488,617398,1652090
West Virginia,Big 12,Big 12,5495362,33436624,18763866,14672758
Western Kentucky,CUSA,CUSA,870548,5296863,2281717,3015146
Western Michigan,MAC,MAC,827015,5031984,1460058,3571926
Wichita State,AAC,AAC,1972609,12002372,4713121,7289251
Wisconsin,Big Ten,Big Ten,8982406,54653602,38117093,16536509
Wyoming,MW,MW,2426393,14763429,4084611,10678818
Youngstown State University,Horizon,Horizon,245788,1495499,417712,1077787
